sequence_id,public
E0VFT,False
TTRK5,True
2Z7FZ,False
VJI6E,False
721FI,True
Q9XRC,False
CUSZA,True
LPE3L,False
DLY9A,True
YMWDK,True
NBCN4,True
OZ4W0,False
MNEY0,False
KCYK3,True
X01I9,False
S050M,False
2MIDX,False
6W9QR,False
OR3VV,True
M5908,False
OPB7B,True
5EGYE,True
CFF30,True
5RT1O,True
KYDON,False
A1DCI,False
NWACS,False
WB5P6,False
MNV3P,True
VZ2XK,False
AMKWD,True
FV42S,False
RGBEN,True
L89TG,True
U97TP,False
E0YW3,True
UY16O,False
FCNLC,False
4IXVO,False
2XSLO,True
QLHWB,False
U7VV7,True
VIAZC,True
CYRPD,False
R3GQN,False
883VN,True
P89S7,False
ZM1IM,False
AF4FE,False
LUU9B,True
MMDDU,False
733VV,True
7ZF03,False
OXSA7,False
JYZZB,True
W5PU2,True
YRN2E,True
7IQ3C,True
78DOW,True
ELOTI,True
GORGG,False
Z5VNZ,False
N9EX8,False
9BKD1,False
BEC83,False
GBMFO,True
TENHO,False
EFMS4,True
ZLSP2,True
ATZPB,False
LQJXJ,False
N5TG9,False
D5Q5Z,False
YAJB1,False
8V59O,True
QSZF0,True
5DPYI,False
O1X73,True
VXJIB,True
BXW5T,False
99YK6,True
5YE3H,True
YQEHD,False
T54VU,False
ADNZW,False
KDH8C,False
NMQWN,False
5AKV7,False
VSCJE,False
WA3AW,False
5GZBS,True
ZHTLD,False
7VKK1,False
9ON67,False
CV2WX,False
W0O2M,True
A5BG9,True
59VR4,False
Z1L9K,True
0R25F,True
5OV5B,True
WMH1N,False
GR9RI,False
RJMVS,False
V2JO7,False
X4V9V,False
WASFS,False
UIUJD,True
74EIJ,False
RJSNR,True
RLBS3,True
B3DQ5,True
USD2S,True
ABQUH,False
WSJNF,False
MVBAT,True
G5TB2,False
QXD3T,True
IKLCI,False
BXOMR,True
RKIEF,True
OV4Q8,True
54S3L,False
BXN1W,True
SSOIF,False
6NCR5,False
09I28,True
S0B1B,False
UYIXN,False
NKL1A,True
E4ADU,True
5AH1L,True
93NE9,True
N8FRY,False
ZCU4A,True
XS51M,False
CZ4HG,False
EGT5A,False
DHIZN,False
CAZE8,False
GRFA4,True
FD57N,True
B4VPX,False
ESZ4B,False
CBWRP,False
00IEU,False
NBBA1,True
5E9V4,True
VWSQX,True
M13HF,False
E6C2T,False
6D6WE,False
G1ET2,True
VPTZX,False
P32CU,False
QONFP,True
O9VU5,False
XVH73,True
22YHE,True
1KR8L,False
4GIGW,False
LHSGI,False
ESYYG,False
QSHDW,False
744RN,True
RLFJ6,False
DHQP2,False
ZSP5J,False
P91TT,False
8S9BR,False
U0MJ0,False
GN9DS,False
NYOOX,True
2LUJ6,False
GFF67,False
NPJ8E,True
IZPVY,False
NFCSA,True
45ZF9,False
MVU8A,True
121CK,True
ZX6I6,True
L1VH2,False
W1JIX,True
L4LWL,True
EC62N,False
2X4XL,True
JPVJ4,False
RXG4N,False
TECU9,True
C1S8C,False
OFJ37,True
8DE6I,False
VA0K9,True
FUM6P,False
6UUT3,True
I70A7,True
KVE6F,False
X66JH,True
I0NYK,False
NVPQC,False
JYX1M,False
KZCJP,False
ER08W,True
BLJ6L,True
ION82,False
VB6UD,True
HF7MS,False
G7DSR,True
M4S9U,True
73Q0Z,True
TS0R4,False
2EK9E,False
HHMSG,False
N51EN,False
1AS03,False
YZHEL,False
BO4ZL,True
S7YT3,False
OLMN5,False
GTSTQ,True
97FJA,False
WL15S,False
INIED,True
7F55C,False
459U9,True
VM7J8,True
T6HNP,False
QFWD7,True
3CBGL,True
CYHYK,False
F4I1N,True
8780F,False
3857I,False
04K7N,True
USA5Q,False
B1W06,True
420DD,False
ZS1I7,True
O0N6Y,False
9LUPJ,False
JRGL0,True
FI92I,False
W0BE6,False
JMUO2,False
QV0ZJ,False
H38PO,False
FTYCD,False
JWJK5,True
MWZGH,False
U2N0F,False
82M5H,False
J8TL3,True
UZ6FG,False
WC4VA,True
JHI2V,False
EEUJN,True
WZZRE,False
927BR,False
8WL21,False
454PT,False
A7795,False
PW0ZQ,False
K7WKH,False
KJATB,True
M2Z46,True
KXG7Y,False
7ZCPD,True
T9OHN,False
KVSOV,False
U0J62,False
BFU4X,False
LIKT1,False
SH6YI,False
H2C1K,False
CUXNX,False
RND32,False
Q8E1F,False
K33Z3,False
XOVJO,False
A0T0J,False
O5FGT,True
UAO9V,False
TS92C,False
EMLJF,False
3IT0U,False
9H0VE,False
F98ID,True
YU63E,True
TQCQS,False
I4JDV,True
122G6,False
EFQ40,False
NCSYE,False
6T4PE,False
QL2WB,True
I8V2K,False
907KI,False
ZLWU6,False
JS0Y6,False
UVB87,False
LXTH2,False
DXDTI,False
KJQND,False
64UUI,True
5LRDY,False
L10J6,False
HE5MS,False
N2TN0,False
1Z5SU,False
9IDQL,False
L10NU,False
BP8CX,False
MVHSF,True
68G5W,True
3KTHI,True
WWIN1,False
YF6T4,True
UP77D,False
NU5U7,False
9CO2C,False
82ZPX,False
WX0YN,False
RPYHS,False
A4634,True
K69JF,False
89Q0V,True
NSXUJ,True
DOL1M,False
D7W80,True
5IYHS,False
4W54A,True
SVTKR,True
Q11FO,False
GLZMU,True
OTV5I,True
HCTTC,True
CBF1I,False
4OCP8,False
PANDX,True
HTYMP,False
DF363,False
KIH14,False
3UWW6,True
FDBDF,False
URRIM,True
VFA06,False
SXKOC,True
FB4A4,False
1OVEX,False
7IWOY,False
PNGBZ,False
TRS00,False
BHEOY,False
5MMX7,False
49T7M,False
22VBQ,False
V1VFF,False
30BOF,True
INUQB,False
CN1UW,True
6G9RR,False
4ZS4E,True
H9NJF,True
S3897,False
2LZVC,False
DQFPP,False
VR5X0,False
DS9IH,False
H0V4J,True
MIL9N,False
LQSRH,True
7BL2Z,True
PQ8AF,False
WB2OF,True
GFKL2,False
VN1HN,False
LP67V,True
ZHRJU,False
EV6CD,False
7CPOW,False
KFG10,False
4G7EM,False
L0UQW,False
5OBV2,False
XTBU6,True
8Y4TQ,True
L4364,False
JJZ9X,True
BSSRK,True
CNM65,True
5LK3W,False
L3LYG,True
KIHUX,False
4HTUJ,True
0I1K3,True
E422C,False
XJYH7,False
Y8YW6,False
3G0S8,True
CLIAP,False
I4GG0,True
AG1JN,True
FOJDM,False
LVT4W,False
AAIZL,False
7OXA2,False
ZZ1EE,True
2TRPH,True
3AJDC,False
GY4KA,True
UUE95,False
QPRJ8,True
7BQ2B,False
OZUGZ,True
8JCK4,False
RHAL1,True
6AHQI,False
HXDXE,False
AQN5T,True
UULT1,True
PU0XL,False
A6U0N,False
NEF1V,False
AWNNA,False
XZ96M,False
OV8WO,False
8PPS9,True
SNY2I,True
G6Y1K,False
DNAXL,True
8ECLV,True
ZDV3Q,False
P3HWG,False
VNNMT,True
FJ02D,True
BHKQM,True
TN9WG,False
UKYR4,False
A2C0J,False
XIPT9,False
HDYUZ,False
RK339,False
OGZU1,False
RA5GK,True
5H7JQ,True
6UIW0,False
NQVWN,True
2SCGN,False
XTJXM,False
94CKW,False
375JW,False
GVH02,False
9GA6Q,True
XD5ML,True
A6YTX,False
J73JN,False
9QKG7,False
1H170,False
JLCVD,False
SX39C,True
IE4IB,False
TWNAM,True
4NZ1D,True
1O3WZ,False
SFG0B,True
CDMAH,False
6A9DH,False
XKNYR,False
APQJA,False
O90TR,False
Y3Z0B,True
RKCSW,True
OQRGZ,True
57ACS,False
NS4KL,False
M0GJG,False
UTB18,True
BUXMA,False
SB2O0,True
8PCHD,True
W16VY,False
C7SIH,True
BQ1Z6,True
RJGX1,False
N7XBH,False
KVF5D,False
XFKFM,False
SGS83,True
VSCXV,False
I86K1,False
VCPVA,True
BDLSW,False
8KP9E,True
KFI3A,False
3ZBS9,False
FZBX1,False
R12R8,True
O4LSW,True
VFXRZ,True
AVNL5,False
BLT9J,False
COHQ2,False
CPCN6,False
SG21U,True
A7ZOS,False
OWY31,True
6GBUS,True
CYKQG,False
B5UHW,True
S192K,False
DTY43,False
Y2SLN,False
EOEDV,True
PRWFB,True
G1B5Z,False
8TUO3,False
6WZB1,True
SYUFE,True
Y0RBS,False
B5JNQ,False
6SYJG,False
NOWQ3,False
BSOG6,False
CW30L,True
5QKOH,True
8ECOF,False
NOEJU,False
1FX51,False
SHXMU,False
EICEO,False
QSKI4,False
XP5NF,True
Z7O7G,True
WGJBS,False
DPWLG,False
NKDWI,True
5TVRT,False
5N38Q,True
VBZYQ,True
NKKNW,True
9LW8P,True
J9WWX,False
IOXE9,True
IYKOO,False
ZGZD2,True
C7PSV,False
Z0R7W,False
XPL8N,False
148RP,True
KD2EA,False
POCQP,False
20HOO,False
LH3F7,True
GD0Z7,False
X8YR7,False
KHAB3,False
DGH6Y,True
K61BR,False
83APA,False
SJLDR,False
Z762R,False
NBU7L,True
YYZ28,False
P3IDM,False
SI7DR,False
YITJO,False
YIT3L,True
I1U4E,True
8BC0D,True
KJ5KM,False
R2QW4,False
8NLI4,False
2TZ4Z,False
GGHQN,False
EII0D,False
H37ZA,False
SYT5Q,False
92QNM,True
UEQTV,True
VQS3O,True
UXFN5,False
OG0UK,False
DO9WB,False
AQLKT,True
YDKH6,True
52TS2,False
G71Y6,False
A76EI,False
4FHIR,False
LTD4I,False
7B1NY,True
Z84RL,False
I68PI,True
O9M5E,True
HBXG7,True
51WJE,False
Z4IAY,False
TWQPF,True
OH768,True
7BJLV,True
